Bus,active_minutes,occupied_minutes,trips_completed
A-Bus-1,463.2420617654203,1888.790960490612,26
A-Bus-2,457.2539402788877,1914.1677925606612,24
B-Bus-1,465.13720724540485,1358.4958679549193,31
B-Bus-2,453.1545533846953,2265.5218172885634,28
